heave,adjusted_roll,steered_angle,Inner Wheel,Outer Wheel,camber_change
1.25,-2,0.174532925,4.75,2.57,3.42
1.5,-2,0.174532925,5.17,2.67,3.87
1.75,-2,0.174532925,5.61,2.83,4.32
2,-2,0.174532925,6.08,3.05,4.79
-2,2,0.34906585,6.34,5.66,-3.82
-1.75,2,0.34906585,6.14,5.51,-3.52
-1.5,2,0.34906585,5.95,5.37,-3.21
-1.25,2,0.34906585,5.77,5.27,-2.9
-1,2,0.34906585,5.6,5.19,-2.58
-0.75,2,0.34906585,5.45,5.14,-2.25
-0.5,2,0.34906585,5.32,5.12,-1.92
-0.25,2,0.34906585,5.21,5.13,-1.58
0,2,0.34906585,5.12,5.18,-1.24
0.25,2,0.34906585,5.06,5.26,-0.88
0.5,2,0.34906585,5.03,5.38,-0.52
0.75,2,0.34906585,5.03,5.53,-0.16
1,2,0.34906585,5.07,5.72,0.22
1.25,2,0.34906585,5.14,5.94,0.6
1.5,2,0.34906585,5.25,6.2,0.99
1.75,2,0.34906585,5.4,6.48,1.39
2,2,0.34906585,5.58,6.8,1.8
-2,1.75,0.34906585,6.25,5.73,-3.69
-1.75,1.75,0.34906585,6.06,5.57,-3.39
-1.5,1.75,0.34906585,5.87,5.43,-3.08
-1.25,1.75,0.34906585,5.69,5.31,-2.76
-1,1.75,0.34906585,5.53,5.22,-2.44
-0.75,1.75,0.34906585,5.39,5.15,-2.11
-0.5,1.75,0.34906585,5.27,5.12,-1.78
-0.25,1.75,0.34906585,5.17,5.12,-1.43
0,1.75,0.34906585,5.09,5.15,-1.09
0.25,1.75,0.34906585,5.04,5.22,-0.73
0.5,1.75,0.34906585,5.03,5.32,-0.37
0.75,1.75,0.34906585,5.05,5.46,0
1,1.75,0.34906585,5.1,5.63,0.38
1.25,1.75,0.34906585,5.18,5.84,0.77
1.5,1.75,0.34906585,5.31,6.08,1.16
1.75,1.75,0.34906585,5.47,6.36,1.56
2,1.75,0.34906585,5.66,6.66,1.98
-2,1.5,0.34906585,6.17,5.8,-3.56
-1.75,1.5,0.34906585,5.97,5.64,-3.25
-1.5,1.5,0.34906585,5.79,5.49,-2.94
-1.25,1.5,0.34906585,5.62,5.36,-2.62
-1,1.5,0.34906585,5.47,5.26,-2.3
-0.75,1.5,0.34906585,5.33,5.18,-1.97
-0.5,1.5,0.34906585,5.22,5.13,-1.63
-0.25,1.5,0.34906585,5.13,5.12,-1.29
0,1.5,0.34906585,5.07,5.13,-0.93
0.25,1.5,0.34906585,5.03,5.18,-0.58
0.5,1.5,0.34906585,5.03,5.27,-0.21
0.75,1.5,0.34906585,5.06,5.4,0.16
1,1.5,0.34906585,5.13,5.56,0.54
1.25,1.5,0.34906585,5.23,5.75,0.93
1.5,1.5,0.34906585,5.37,5.98,1.33
1.75,1.5,0.34906585,5.55,6.24,1.74
2,1.5,0.34906585,5.75,6.53,2.15
-2,1.25,0.34906585,6.08,5.88,-3.43
-1.75,1.25,0.34906585,5.89,5.71,-3.12
-1.5,1.25,0.34906585,5.72,5.55,-2.8
-1.25,1.25,0.34906585,5.55,5.41,-2.48
-1,1.25,0.34906585,5.41,5.3,-2.16
-0.75,1.25,0.34906585,5.28,5.21,-1.82
-0.5,1.25,0.34906585,5.18,5.15,-1.48
-0.25,1.25,0.34906585,5.1,5.12,-1.14
0,1.25,0.34906585,5.05,5.12,-0.78
0.25,1.25,0.34906585,5.03,5.16,-0.42
0.5,1.25,0.34906585,5.04,5.23,-0.05
0.75,1.25,0.34906585,5.09,5.34,0.32
1,1.25,0.34906585,5.17,5.48,0.71
1.25,1.25,0.34906585,5.29,5.66,1.1
1.5,1.25,0.34906585,5.44,5.88,1.5
1.75,1.25,0.34906585,5.63,6.12,1.91
2,1.25,0.34906585,5.85,6.4,2.33
-2,1,0.34906585,6,5.96,-3.29
-1.75,1,0.34906585,5.82,5.78,-2.98
-1.5,1,0.34906585,5.64,5.62,-2.67
-1.25,1,0.34906585,5.49,5.47,-2.34
-1,1,0.34906585,5.35,5.35,-2.01
-0.75,1,0.34906585,5.23,5.25,-1.68
-0.5,1,0.34906585,5.14,5.17,-1.33
-0.25,1,0.34906585,5.07,5.13,-0.98
0,1,0.34906585,5.04,5.12,-0.63
0.25,1,0.34906585,5.03,5.14,-0.26
0.5,1,0.34906585,5.06,5.19,0.11
0.75,1,0.34906585,5.12,5.29,0.49
1,1,0.34906585,5.22,5.42,0.88
1.25,1,0.34906585,5.35,5.58,1.27
1.5,1,0.34906585,5.52,5.78,1.68
1.75,1,0.34906585,5.72,6.01,2.09
2,1,0.34906585,5.96,6.28,2.51
-2,0.75,0.34906585,5.92,6.05,-3.16
-1.75,0.75,0.34906585,5.74,5.86,-2.85
-1.5,0.75,0.34906585,5.58,5.69,-2.53
-1.25,0.75,0.34906585,5.43,5.53,-2.2
-1,0.75,0.34906585,5.3,5.4,-1.87
-0.75,0.75,0.34906585,5.19,5.29,-1.53
-0.5,0.75,0.34906585,5.11,5.2,-1.18
-0.25,0.75,0.34906585,5.05,5.14,-0.83
0,0.75,0.34906585,5.03,5.12,-0.47
0.25,0.75,0.34906585,5.04,5.12,-0.1
0.5,0.75,0.34906585,5.08,5.17,0.27
0.75,0.75,0.34906585,5.16,5.24,0.65
1,0.75,0.34906585,5.27,5.36,1.04
1.25,0.75,0.34906585,5.42,5.51,1.44
1.5,0.75,0.34906585,5.6,5.69,1.85
1.75,0.75,0.34906585,5.82,5.91,2.27
2,0.75,0.34906585,6.07,6.16,2.69
-2,0.5,0.34906585,5.84,6.13,-3.02
-1.75,0.5,0.34906585,5.67,5.94,-2.71
-1.5,0.5,0.34906585,5.51,5.76,-2.39
-1.25,0.5,0.34906585,5.37,5.6,-2.06
-1,0.5,0.34906585,5.25,5.45,-1.72
-0.75,0.5,0.34906585,5.15,5.33,-1.38
-0.5,0.5,0.34906585,5.08,5.23,-1.03
-0.25,0.5,0.34906585,5.04,5.16,-0.68
0,0.5,0.34906585,5.03,5.12,-0.31
0.25,0.5,0.34906585,5.05,5.12,0.06
0.5,0.5,0.34906585,5.11,5.14,0.43
0.75,0.5,0.34906585,5.2,5.21,0.82
1,0.5,0.34906585,5.33,5.3,1.21
1.25,0.5,0.34906585,5.49,5.44,1.62
1.5,0.5,0.34906585,5.69,5.61,2.03
1.75,0.5,0.34906585,5.92,5.81,2.45
2,0.5,0.34906585,6.18,6.05,2.88
-2,0.25,0.34906585,5.76,6.22,-2.89
-1.75,0.25,0.34906585,5.6,6.02,-2.57
-1.5,0.25,0.34906585,5.45,5.84,-2.24
-1.25,0.25,0.34906585,5.31,5.67,-1.91
-1,0.25,0.34906585,5.2,5.51,-1.57
-0.75,0.25,0.34906585,5.12,5.38,-1.23
-0.5,0.25,0.34906585,5.06,5.27,-0.88
-0.25,0.25,0.34906585,5.03,5.19,-0.52
0,0.25,0.34906585,5.03,5.14,-0.16
0.25,0.25,0.34906585,5.07,5.12,0.22
0.5,0.25,0.34906585,5.14,5.13,0.6
0.75,0.25,0.34906585,5.25,5.17,0.99
1,0.25,0.34906585,5.39,5.26,1.38
1.25,0.25,0.34906585,5.57,5.38,1.79
1.5,0.25,0.34906585,5.78,5.53,2.2
1.75,0.25,0.34906585,6.03,5.72,2.63
2,0.25,0.34906585,6.3,5.95,3.06
-2,0,0.34906585,5.69,6.31,-2.75
-1.75,0,0.34906585,5.53,6.11,-2.43
-1.5,0,0.34906585,5.39,5.91,-2.1
-1.25,0,0.34906585,5.26,5.74,-1.77
-1,0,0.34906585,5.16,5.58,-1.43
-0.75,0,0.34906585,5.09,5.44,-1.08
-0.5,0,0.34906585,5.04,5.32,-0.73
-0.25,0,0.34906585,5.03,5.22,-0.36
0,0,0.34906585,5.05,5.16,0
0.25,0,0.34906585,5.1,5.12,0.38
0.5,0,0.34906585,5.18,5.12,0.76
0.75,0,0.34906585,5.31,5.15,1.16
1,0,0.34906585,5.46,5.22,1.56
1.25,0,0.34906585,5.66,5.32,1.97
1.5,0,0.34906585,5.88,5.46,2.38
1.75,0,0.34906585,6.14,5.64,2.81
2,0,0.34906585,6.43,5.85,3.25
-2,-0.25,0.34906585,5.62,6.4,-2.61
-1.75,-0.25,0.34906585,5.46,6.19,-2.29
-1.5,-0.25,0.34906585,5.33,6,-1.96
-1.25,-0.25,0.34906585,5.22,5.81,-1.62
-1,-0.25,0.34906585,5.13,5.64,-1.28
-0.75,-0.25,0.34906585,5.07,5.49,-0.93
-0.5,-0.25,0.34906585,5.03,5.37,-0.57
-0.25,-0.25,0.34906585,5.03,5.26,-0.21
0,-0.25,0.34906585,5.06,5.18,0.17
0.25,-0.25,0.34906585,5.13,5.13,0.54
0.5,-0.25,0.34906585,5.23,5.12,0.93
0.75,-0.25,0.34906585,5.37,5.13,1.33
1,-0.25,0.34906585,5.54,5.18,1.73
1.25,-0.25,0.34906585,5.75,5.27,2.14
1.5,-0.25,0.34906585,5.99,5.4,2.56
1.75,-0.25,0.34906585,6.26,5.56,3
2,-0.25,0.34906585,6.56,5.75,3.44
-2,-0.5,0.34906585,5.55,6.5,-2.47
-1.75,-0.5,0.34906585,5.4,6.28,-2.14
-1.5,-0.5,0.34906585,5.28,6.08,-1.81
-1.25,-0.5,0.34906585,5.18,5.89,-1.47
-1,-0.5,0.34906585,5.1,5.72,-1.13
-0.75,-0.5,0.34906585,5.05,5.56,-0.77
-0.5,-0.5,0.34906585,5.03,5.42,-0.41
-0.25,-0.5,0.34906585,5.04,5.3,-0.05
0,-0.5,0.34906585,5.09,5.21,0.33
0.25,-0.5,0.34906585,5.17,5.15,0.71
0.5,-0.5,0.34906585,5.29,5.12,1.1
0.75,-0.5,0.34906585,5.44,5.12,1.5
1,-0.5,0.34906585,5.63,5.16,1.91
1.25,-0.5,0.34906585,5.85,5.23,2.32
1.5,-0.5,0.34906585,6.1,5.34,2.75
1.75,-0.5,0.34906585,6.38,5.49,3.18
2,-0.5,0.34906585,6.69,5.67,3.63
-2,-0.75,0.34906585,5.48,6.59,-2.33
-1.75,-0.75,0.34906585,5.35,6.37,-2
-1.5,-0.75,0.34906585,5.23,6.17,-1.66
-1.25,-0.75,0.34906585,5.14,5.97,-1.32
-1,-0.75,0.34906585,5.07,5.79,-0.97
-0.75,-0.75,0.34906585,5.04,5.62,-0.62
-0.5,-0.75,0.34906585,5.03,5.48,-0.25
-0.25,-0.75,0.34906585,5.06,5.35,0.12
0,-0.75,0.34906585,5.12,5.25,0.49
0.25,-0.75,0.34906585,5.22,5.17,0.88
0.5,-0.75,0.34906585,5.35,5.13,1.27
0.75,-0.75,0.34906585,5.52,5.12,1.67
1,-0.75,0.34906585,5.72,5.14,2.08
1.25,-0.75,0.34906585,5.95,5.19,2.5
1.5,-0.75,0.34906585,6.22,5.29,2.93
1.75,-0.75,0.34906585,6.51,5.42,3.37
2,-0.75,0.34906585,6.83,5.59,3.82
-2,-1,0.34906585,5.42,6.69,-2.18
-1.75,-1,0.34906585,5.29,6.47,-1.85
-1.5,-1,0.34906585,5.19,6.26,-1.51
-1.25,-1,0.34906585,5.11,6.05,-1.17
-1,-1,0.34906585,5.05,5.87,-0.82
-0.75,-1,0.34906585,5.03,5.69,-0.46
-0.5,-1,0.34906585,5.04,5.54,-0.1
-0.25,-1,0.34906585,5.08,5.4,0.28
0,-1,0.34906585,5.16,5.29,0.66
0.25,-1,0.34906585,5.27,5.2,1.05
0.5,-1,0.34906585,5.42,5.14,1.44
0.75,-1,0.34906585,5.6,5.12,1.85
1,-1,0.34906585,5.81,5.12,2.26
1.25,-1,0.34906585,6.06,5.17,2.68
1.5,-1,0.34906585,6.34,5.24,3.12
1.75,-1,0.34906585,6.64,5.36,3.56
2,-1,0.34906585,6.98,5.51,4.01
-2,-1.25,0.34906585,5.36,6.79,-2.04
-1.75,-1.25,0.34906585,5.24,6.56,-1.71
-1.5,-1.25,0.34906585,5.15,6.35,-1.36
-1.25,-1.25,0.34906585,5.08,6.14,-1.02
-1,-1.25,0.34906585,5.04,5.95,-0.66
-0.75,-1.25,0.34906585,5.03,5.77,-0.3
-0.5,-1.25,0.34906585,5.05,5.6,0.07
-0.25,-1.25,0.34906585,5.11,5.46,0.44
0,-1.25,0.34906585,5.2,5.33,0.82
0.25,-1.25,0.34906585,5.33,5.24,1.22
0.5,-1.25,0.34906585,5.49,5.16,1.62
0.75,-1.25,0.34906585,5.69,5.12,2.02
1,-1.25,0.34906585,5.91,5.12,2.44
1.25,-1.25,0.34906585,6.17,5.14,2.87
1.5,-1.25,0.34906585,6.46,5.21,3.3
1.75,-1.25,0.34906585,6.78,5.31,3.75
2,-1.25,0.34906585,7.13,5.44,4.21
-2,-1.5,0.34906585,5.31,6.89,-1.89
-1.75,-1.5,0.34906585,5.2,6.66,-1.56
-1.5,-1.5,0.34906585,5.12,6.44,-1.21
-1.25,-1.5,0.34906585,5.06,6.23,-0.86
-1,-1.5,0.34906585,5.03,6.03,-0.51
-0.75,-1.5,0.34906585,5.03,5.84,-0.14
-0.5,-1.5,0.34906585,5.07,5.67,0.23
-0.25,-1.5,0.34906585,5.14,5.52,0.61
0,-1.5,0.34906585,5.25,5.38,0.99
0.25,-1.5,0.34906585,5.39,5.27,1.39
0.5,-1.5,0.34906585,5.57,5.19,1.79
0.75,-1.5,0.34906585,5.78,5.14,2.2
1,-1.5,0.34906585,6.02,5.12,2.62
1.25,-1.5,0.34906585,6.29,5.13,3.05
1.5,-1.5,0.34906585,6.6,5.17,3.49
1.75,-1.5,0.34906585,6.93,5.26,3.94
2,-1.5,0.34906585,7.28,5.38,4.4
-2,-1.75,0.34906585,5.26,6.99,-1.75
-1.75,-1.75,0.34906585,5.16,6.76,-1.41
-1.5,-1.75,0.34906585,5.09,6.53,-1.06
-1.25,-1.75,0.34906585,5.04,6.32,-0.71
-1,-1.75,0.34906585,5.03,6.11,-0.35
-0.75,-1.75,0.34906585,5.05,5.92,0.02
-0.5,-1.75,0.34906585,5.1,5.74,0.39
-0.25,-1.75,0.34906585,5.19,5.58,0.77
0,-1.75,0.34906585,5.31,5.44,1.16
0.25,-1.75,0.34906585,5.47,5.32,1.56
0.5,-1.75,0.34906585,5.66,5.22,1.97
0.75,-1.75,0.34906585,5.88,5.16,2.38
1,-1.75,0.34906585,6.14,5.12,2.81
1.25,-1.75,0.34906585,6.42,5.12,3.24
1.5,-1.75,0.34906585,6.73,5.15,3.68
1.75,-1.75,0.34906585,7.07,5.22,4.13
2,-1.75,0.34906585,7.44,5.32,4.6
-2,-2,0.34906585,5.21,7.09,-1.6
-1.75,-2,0.34906585,5.12,6.85,-1.26
-1.5,-2,0.34906585,5.06,6.63,-0.91
-1.25,-2,0.34906585,5.03,6.41,-0.55
-1,-2,0.34906585,5.03,6.2,-0.19
-0.75,-2,0.34906585,5.07,6,0.18
-0.5,-2,0.34906585,5.13,5.82,0.56
-0.25,-2,0.34906585,5.24,5.65,0.94
0,-2,0.34906585,5.37,5.5,1.33
0.25,-2,0.34906585,5.54,5.37,1.74
0.5,-2,0.34906585,5.75,5.26,2.14
0.75,-2,0.34906585,5.99,5.18,2.56
1,-2,0.34906585,6.25,5.13,2.99
1.25,-2,0.34906585,6.55,5.12,3.43
1.5,-2,0.34906585,6.88,5.13,3.87
1.75,-2,0.34906585,7.23,5.19,4.33
2,-2,0.34906585,7.6,5.28,4.8
-2,2,0.523598776,8.36,8.22,-3.82
-1.75,2,0.523598776,8.22,8.1,-3.52
-1.5,2,0.523598776,8.09,7.99,-3.21
-1.25,2,0.523598776,7.97,7.9,-2.9
-1,2,0.523598776,7.86,7.83,-2.58
-0.75,2,0.523598776,7.76,7.77,-2.25
-0.5,2,0.523598776,7.68,7.73,-1.92
-0.25,2,0.523598776,7.61,7.72,-1.58
0,2,0.523598776,7.56,7.72,-1.24
0.25,2,0.523598776,7.53,7.75,-0.88
0.5,2,0.523598776,7.52,7.8,-0.52
0.75,2,0.523598776,7.53,7.87,-0.15
1,2,0.523598776,7.56,7.98,0.22
1.25,2,0.523598776,7.62,8.1,0.6
1.5,2,0.523598776,7.7,8.25,1
1.75,2,0.523598776,7.8,8.43,1.4
2,2,0.523598776,7.94,8.64,1.81
-2,1.75,0.523598776,8.3,8.27,-3.69
-1.75,1.75,0.523598776,8.16,8.15,-3.39
-1.5,1.75,0.523598776,8.03,8.03,-3.08
-1.25,1.75,0.523598776,7.92,7.94,-2.76
-1,1.75,0.523598776,7.81,7.86,-2.44
-0.75,1.75,0.523598776,7.72,7.79,-2.11
-0.5,1.75,0.523598776,7.65,7.75,-1.78
-0.25,1.75,0.523598776,7.59,7.72,-1.43
0,1.75,0.523598776,7.55,7.72,-1.08
0.25,1.75,0.523598776,7.52,7.73,-0.73
0.5,1.75,0.523598776,7.52,7.77,-0.37
0.75,1.75,0.523598776,7.54,7.84,0
1,1.75,0.523598776,7.58,7.93,0.38
1.25,1.75,0.523598776,7.65,8.04,0.77
1.5,1.75,0.523598776,7.74,8.19,1.17
1.75,1.75,0.523598776,7.86,8.35,1.57
2,1.75,0.523598776,8,8.55,1.98
-2,1.5,0.523598776,8.24,8.33,-3.56
-1.75,1.5,0.523598776,8.1,8.2,-3.25
-1.5,1.5,0.523598776,7.98,8.08,-2.94
-1.25,1.5,0.523598776,7.87,7.98,-2.62
-1,1.5,0.523598776,7.77,7.89,-2.3
-0.75,1.5,0.523598776,7.69,7.82,-1.97
-0.5,1.5,0.523598776,7.62,7.76,-1.63
-0.25,1.5,0.523598776,7.57,7.73,-1.28
0,1.5,0.523598776,7.54,7.72,-0.93
0.25,1.5,0.523598776,7.52,7.72,-0.57
0.5,1.5,0.523598776,7.53,7.75,-0.21
0.75,1.5,0.523598776,7.56,7.81,0.17
1,1.5,0.523598776,7.61,7.89,0.55
1.25,1.5,0.523598776,7.68,7.99,0.94
1.5,1.5,0.523598776,7.79,8.12,1.34
1.75,1.5,0.523598776,7.91,8.28,1.74
2,1.5,0.523598776,8.07,8.46,2.16
-2,1.25,0.523598776,8.18,8.39,-3.43
-1.75,1.25,0.523598776,8.05,8.26,-3.12
-1.5,1.25,0.523598776,7.93,8.13,-2.8
-1.25,1.25,0.523598776,7.83,8.02,-2.48
-1,1.25,0.523598776,7.74,7.93,-2.16
-0.75,1.25,0.523598776,7.66,7.85,-1.82
-0.5,1.25,0.523598776,7.6,7.79,-1.48
-0.25,1.25,0.523598776,7.55,7.74,-1.13
0,1.25,0.523598776,7.53,7.72,-0.78
0.25,1.25,0.523598776,7.52,7.72,-0.42
0.5,1.25,0.523598776,7.54,7.74,-0.05
0.75,1.25,0.523598776,7.58,7.78,0.33
1,1.25,0.523598776,7.64,7.85,0.71
1.25,1.25,0.523598776,7.72,7.94,1.11
1.5,1.25,0.523598776,7.84,8.06,1.51
1.75,1.25,0.523598776,7.97,8.21,1.92
2,1.25,0.523598776,8.14,8.38,2.34
-2,1,0.523598776,8.12,8.45,-3.3
-1.75,1,0.523598776,8,8.31,-2.98
-1.5,1,0.523598776,7.89,8.18,-2.67
-1.25,1,0.523598776,7.79,8.07,-2.34
-1,1,0.523598776,7.7,7.97,-2.01
-0.75,1,0.523598776,7.63,7.88,-1.68
-0.5,1,0.523598776,7.58,7.81,-1.33
-0.25,1,0.523598776,7.54,7.76,-0.98
0,1,0.523598776,7.52,7.73,-0.62
0.25,1,0.523598776,7.53,7.72,-0.26
0.5,1,0.523598776,7.55,7.73,0.11
0.75,1,0.523598776,7.6,7.76,0.49
1,1,0.523598776,7.67,7.82,0.88
1.25,1,0.523598776,7.77,7.9,1.28
1.5,1,0.523598776,7.89,8.01,1.68
1.75,1,0.523598776,8.04,8.14,2.1
2,1,0.523598776,8.22,8.31,2.52
-2,0.75,0.523598776,8.07,8.52,-3.16
-1.75,0.75,0.523598776,7.95,8.37,-2.85
-1.5,0.75,0.523598776,7.84,8.24,-2.53
-1.25,0.75,0.523598776,7.75,8.12,-2.2
-1,0.75,0.523598776,7.67,8.01,-1.87
-0.75,0.75,0.523598776,7.6,7.92,-1.53
-0.5,0.75,0.523598776,7.56,7.84,-1.18
-0.25,0.75,0.523598776,7.53,7.78,-0.83
0,0.75,0.523598776,7.52,7.74,-0.47
0.25,0.75,0.523598776,7.53,7.72,-0.1
0.5,0.75,0.523598776,7.57,7.72,0.27
0.75,0.75,0.523598776,7.63,7.74,0.66
1,0.75,0.523598776,7.71,7.79,1.05
1.25,0.75,0.523598776,7.82,7.86,1.45
1.5,0.75,0.523598776,7.95,7.96,1.86
1.75,0.75,0.523598776,8.11,8.08,2.27
2,0.75,0.523598776,8.3,8.23,2.7
-2,0.5,0.523598776,8.01,8.59,-3.03
-1.75,0.5,0.523598776,7.9,8.44,-2.71
-1.5,0.5,0.523598776,7.8,8.3,-2.39
-1.25,0.5,0.523598776,7.71,8.17,-2.06
-1,0.5,0.523598776,7.64,8.05,-1.72
-0.75,0.5,0.523598776,7.58,7.95,-1.38
-0.5,0.5,0.523598776,7.54,7.87,-1.03
-0.25,0.5,0.523598776,7.52,7.8,-0.67
0,0.5,0.523598776,7.52,7.75,-0.31
0.25,0.5,0.523598776,7.55,7.72,0.06
0.5,0.5,0.523598776,7.59,7.72,0.44
0.75,0.5,0.523598776,7.66,7.73,0.82
1,0.5,0.523598776,7.75,7.77,1.22
1.25,0.5,0.523598776,7.87,7.83,1.62
1.5,0.5,0.523598776,8.02,7.92,2.03
1.75,0.5,0.523598776,8.19,8.03,2.45
2,0.5,0.523598776,8.39,8.17,2.89
-2,0.25,0.523598776,7.96,8.65,-2.89
-1.75,0.25,0.523598776,7.86,8.5,-2.57
-1.5,0.25,0.523598776,7.76,8.36,-2.24
-1.25,0.25,0.523598776,7.68,8.22,-1.91
-1,0.25,0.523598776,7.61,8.1,-1.57
-0.75,0.25,0.523598776,7.56,8,-1.23
-0.5,0.25,0.523598776,7.53,7.9,-0.88
-0.25,0.25,0.523598776,7.52,7.83,-0.52
0,0.25,0.523598776,7.53,7.77,-0.15
0.25,0.25,0.523598776,7.56,7.73,0.22
0.5,0.25,0.523598776,7.62,7.72,0.6
0.75,0.25,0.523598776,7.7,7.72,0.99
1,0.25,0.523598776,7.8,7.75,1.39
1.25,0.25,0.523598776,7.93,7.8,1.8
1.5,0.25,0.523598776,8.09,7.87,2.21
1.75,0.25,0.523598776,8.27,7.98,2.64
2,0.25,0.523598776,8.48,8.11,3.07
-2,0,0.523598776,7.92,8.72,-2.75
-1.75,0,0.523598776,7.81,8.57,-2.43
-1.5,0,0.523598776,7.72,8.42,-2.1
-1.25,0,0.523598776,7.65,8.28,-1.77
-1,0,0.523598776,7.59,8.15,-1.43
-0.75,0,0.523598776,7.55,8.04,-1.08
-0.5,0,0.523598776,7.52,7.94,-0.72
-0.25,0,0.523598776,7.52,7.86,-0.36
0,0,0.523598776,7.54,7.79,0.01
0.25,0,0.523598776,7.58,7.75,0.38
0.5,0,0.523598776,7.65,7.72,0.77
0.75,0,0.523598776,7.74,7.72,1.16
1,0,0.523598776,7.85,7.73,1.56
1.25,0,0.523598776,7.99,7.77,1.97
1.5,0,0.523598776,8.16,7.84,2.39
1.75,0,0.523598776,8.35,7.93,2.82
2,0,0.523598776,8.57,8.05,3.26
-2,-0.25,0.523598776,7.87,8.79,-2.61
-1.75,-0.25,0.523598776,7.77,8.63,-2.29
-1.5,-0.25,0.523598776,7.69,8.48,-1.96
-1.25,-0.25,0.523598776,7.62,8.34,-1.62
-1,-0.25,0.523598776,7.57,8.21,-1.28
-0.75,-0.25,0.523598776,7.53,8.09,-0.93
-0.5,-0.25,0.523598776,7.52,7.98,-0.57
-0.25,-0.25,0.523598776,7.53,7.89,-0.2
0,-0.25,0.523598776,7.56,7.82,0.17
0.25,-0.25,0.523598776,7.61,7.77,0.55
0.5,-0.25,0.523598776,7.68,7.73,0.94
0.75,-0.25,0.523598776,7.78,7.72,1.33
1,-0.25,0.523598776,7.91,7.72,1.74
1.25,-0.25,0.523598776,8.06,7.75,2.15
1.5,-0.25,0.523598776,8.24,7.81,2.57
1.75,-0.25,0.523598776,8.44,7.89,3
2,-0.25,0.523598776,8.67,7.99,3.45
-2,-0.5,0.523598776,7.82,8.87,-2.47
-1.75,-0.5,0.523598776,7.73,8.7,-2.14
-1.5,-0.5,0.523598776,7.66,8.55,-1.81
-1.25,-0.5,0.523598776,7.59,8.4,-1.47
-1,-0.5,0.523598776,7.55,8.26,-1.12
-0.75,-0.5,0.523598776,7.53,8.14,-0.77
-0.5,-0.5,0.523598776,7.52,8.03,-0.41
-0.25,-0.5,0.523598776,7.54,7.93,-0.04
0,-0.5,0.523598776,7.58,7.85,0.33
0.25,-0.5,0.523598776,7.64,7.79,0.71
0.5,-0.5,0.523598776,7.72,7.74,1.1
0.75,-0.5,0.523598776,7.84,7.72,1.5
1,-0.5,0.523598776,7.97,7.72,1.91
1.25,-0.5,0.523598776,8.13,7.74,2.33
1.5,-0.5,0.523598776,8.32,7.78,2.75
1.75,-0.5,0.523598776,8.54,7.85,3.19
2,-0.5,0.523598776,8.78,7.95,3.64
-2,-0.75,0.523598776,7.78,8.94,-2.33
-1.75,-0.75,0.523598776,7.7,8.77,-2
-1.5,-0.75,0.523598776,7.63,8.61,-1.66
-1.25,-0.75,0.523598776,7.57,8.46,-1.32
-1,-0.75,0.523598776,7.54,8.32,-0.97
-0.75,-0.75,0.523598776,7.52,8.19,-0.62
-0.5,-0.75,0.523598776,7.53,8.07,-0.25
-0.25,-0.75,0.523598776,7.55,7.97,0.12
0,-0.75,0.523598776,7.6,7.88,0.5
0.25,-0.75,0.523598776,7.67,7.81,0.88
0.5,-0.75,0.523598776,7.77,7.76,1.28
0.75,-0.75,0.523598776,7.89,7.73,1.68
1,-0.75,0.523598776,8.04,7.72,2.09
1.25,-0.75,0.523598776,8.21,7.73,2.51
1.5,-0.75,0.523598776,8.41,7.76,2.94
1.75,-0.75,0.523598776,8.64,7.82,3.38
2,-0.75,0.523598776,8.89,7.9,3.83
-2,-1,0.523598776,7.74,9.02,-2.19
-1.75,-1,0.523598776,7.66,8.85,-1.85
-1.5,-1,0.523598776,7.6,8.68,-1.51
-1.25,-1,0.523598776,7.56,8.52,-1.17
-1,-1,0.523598776,7.53,8.38,-0.82
-0.75,-1,0.523598776,7.52,8.24,-0.46
-0.5,-1,0.523598776,7.53,8.12,-0.09
-0.25,-1,0.523598776,7.57,8.01,0.28
0,-1,0.523598776,7.63,7.92,0.66
0.25,-1,0.523598776,7.71,7.84,1.05
0.5,-1,0.523598776,7.82,7.78,1.45
0.75,-1,0.523598776,7.95,7.74,1.85
1,-1,0.523598776,8.11,7.72,2.27
1.25,-1,0.523598776,8.29,7.72,2.69
1.5,-1,0.523598776,8.5,7.74,3.12
1.75,-1,0.523598776,8.74,7.79,3.57
2,-1,0.523598776,9,7.86,4.02
-2,-1.25,0.523598776,7.71,9.09,-2.04
-1.75,-1.25,0.523598776,7.64,8.92,-1.71
-1.5,-1.25,0.523598776,7.58,8.75,-1.36
-1.25,-1.25,0.523598776,7.54,8.59,-1.02
-1,-1.25,0.523598776,7.52,8.44,-0.66
-0.75,-1.25,0.523598776,7.52,8.3,-0.3
-0.5,-1.25,0.523598776,7.55,8.17,0.07
-0.25,-1.25,0.523598776,7.59,8.06,0.44
0,-1.25,0.523598776,7.66,7.96,0.83
0.25,-1.25,0.523598776,7.75,7.87,1.22
0.5,-1.25,0.523598776,7.87,7.8,1.62
0.75,-1.25,0.523598776,8.02,7.75,2.03
1,-1.25,0.523598776,8.18,7.72,2.45
1.25,-1.25,0.523598776,8.38,7.72,2.87
1.5,-1.25,0.523598776,8.6,7.73,3.31
1.75,-1.25,0.523598776,8.85,7.77,3.76
2,-1.25,0.523598776,9.12,7.83,4.21
-2,-1.5,0.523598776,7.67,9.17,-1.89
-1.75,-1.5,0.523598776,7.61,8.99,-1.56
